Saved Date,Job Url,Job Title,Company Name
"4/12/26, 5:16 PM",http://www.linkedin.com/jobs/view/4376218724,"Manager, New Verticals - Gift Card Strategy & Operations",DoorDash
"9/7/23, 3:38 PM",http://www.linkedin.com/jobs/view/3668456419,"Product Manager, Ads Measurement",TikTok
"9/7/23, 3:37 PM",http://www.linkedin.com/jobs/view/3313093678,TikTok Shop - Strategy & Analytics Lead,TikTok
"11/12/23, 8:35 AM",http://www.linkedin.com/jobs/view/3760970035,Senior Product Manager - Data Ventures,Walmart Data Ventures
"1/14/26, 9:33 PM",http://www.linkedin.com/jobs/view/4352239378,Senior Product Manager (Ecommerce),Warby Parker
"6/12/23, 10:31 PM",http://www.linkedin.com/jobs/view/3630120484,Senior Product Analyst,Angi
"3/31/26, 7:49 PM",http://www.linkedin.com/jobs/view/4366702792,"Sr. Product Manager, WW DSP Offers",Amazon
"11/7/23, 3:16 PM",http://www.linkedin.com/jobs/view/3749027820,Business Analysis Manager - TFB Revenue and Retention,T-Mobile
"3/12/26, 10:39 AM",http://www.linkedin.com/jobs/view/4368440849,"Senior Product Manager, In-App Purchases",Duolingo
"4/11/26, 12:11 PM",http://www.linkedin.com/jobs/view/4396382002,Sr Product Manager (B2B2C),hackajob
"11/7/23, 8:03 AM",http://www.linkedin.com/jobs/view/3759411913,Product Analytics Lead - Data Science,SurveyMonkey
"11/18/23, 4:32 PM",http://www.linkedin.com/jobs/view/3744962571,"Sr. Associate, Digital Optimization",Apple Leisure Group
"3/12/26, 1:29 PM",http://www.linkedin.com/jobs/view/4355309035,Product Manager,RETAILORS
"11/11/23, 8:39 AM",http://www.linkedin.com/jobs/view/3763232649,"Data Scientist, Product Analytics",Meta
"11/7/23, 1:12 AM",http://www.linkedin.com/jobs/view/3751608836,"Product Manager, Music Genome Integration",Pandora
"11/3/23, 9:41 PM",http://www.linkedin.com/jobs/view/3725826474,"Product Strategist, Monetization",TikTok
"2/14/24, 4:29 AM",http://www.linkedin.com/jobs/view/3826250008,"Product Owner, Digital Employee Experience",Chipotle Mexican Grill
"12/7/23, 9:58 AM",http://www.linkedin.com/jobs/view/3774116165,"Lead, Product Analytics - New Bets",Instacart
"3/12/26, 10:48 AM",http://www.linkedin.com/jobs/view/4364474709,Senior Product Operations Manager - Earner Experience,Uber
"11/1/23, 8:20 PM",http://www.linkedin.com/jobs/view/3704339407,"Manager, Data Solution Analytics",hims & hers
"10/29/23, 3:08 AM",http://www.linkedin.com/jobs/view/3682246909,Product Manager - Data,Walker & Dunlop
"11/14/23, 1:02 PM",http://www.linkedin.com/jobs/view/3758959675,"Lead Analyst, Customer Insights & Analytics",Chipotle Mexican Grill
"4/1/26, 8:44 PM",http://www.linkedin.com/jobs/view/4382417594,Senior Product Manager (Merchant Onboarding & Compliance),hackajob
